Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
5329ee488216aec4330b81058c3f0a53a8ef5c1a0483fcc2a7b4b469dbef561f,2015-02,Metropolitan Police Service,Metropolitan Police Service,-0.095773,51.390914,On or near HENDERSON ROAD,E01001114,Croydon 013E,Suspect charged
fae69e1b6464036e0e31e396615731e1e9f8d996d7d86f4d41ebba58834533f3,2015-02,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
7722e5a6f061fd40ad15d2dfbea3e912022c6924710bf5e521860621a1985357,2015-02,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Offender given penalty notice
c740bc08c99dd6270586e41351d757600efa471527c5a5c704a4cd640a72a1df,2015-02,Metropolitan Police Service,Metropolitan Police Service,0.185672,51.579539,On or near Pedestrian Subway,E01032742,Havering 013F,Investigation complete; no suspect identified
e8dff09ec9e1a481bf1ff1abc0c8d4693229694ed16081dd3df5cefb793ac175,2015-02,Metropolitan Police Service,Metropolitan Police Service,-0.245053,51.451445,On or near ELLISFIELD DRIVE,E01004568,Wandsworth 013A,Investigation complete; no suspect identified
da4230a8fc3957f4c45e69415f56b0a86058b5362faa6ffe06308f23c191efa3,2015-02,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Suspect charged
9f92f215a14d337613687635f45631679c945cdad7a7b4e05a53027327e6863b,2015-02,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
02b20908ff8cc8e5957d08caa9c5323835ab182f21a7724387f7b87c24ef2bd2,2015-02,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
b4aba4e3fedaa92b1c503b0ae094523cb837e323d269325fb34a68428453df3b,2015-02,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
404567d5ff5510c49de17ba45d981a10533cb971002a21b746f26de1f5ff4fd3,2015-02,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
162e69243fb2dd6ac1fd923f77478a757720f703d519473c2f65c87fe643463b,2015-02,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
bc34b24ba15643aaabd1df9093dbd79cd1abd9f5701e65db6550b18e2d4c8841,2015-02,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Local resolution
98ef90c9e3eaa9328ee93b51b151f016830b9201b7e72357817991bc96ddd767,2015-02,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Offender given a drugs possession warning
2f094f029b3543095dca1227471b96c74aefa65af657565cd91b2f04af98cbe1,2015-02,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
1727fbdc9528e68d14f9007d5dff7fc784c4530a52e0434fd484d8df964695aa,2015-02,Metropolitan Police Service,Metropolitan Police Service,-0.194461,51.359905,On or near GROVE ROAD,E01004156,Sutton 018C,Suspect charged
de0464f4aa785dc9e1e3760dcea8a37e1afb6cf22d5191115b91c58ba7b13e11,2015-02,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Offender given a drugs possession warning
b1b6fe8c0cd2f72664c02e2b079c80fc61bd047ec20e50c2a6571ba09aed6c88,2015-02,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Suspect charged
8845a822c0ad0f5939f54315161f2dc49d32edfcdd02770656a0230ea6e97b97,2015-02,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Offender given a caution
3f24f5b561a242840f3ac5e7319f2e5cbe30ad9ac4c5c0405d3f43593d28c8be,2015-02,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
faed04fcc05c935276b19fccd7af2e401c7fc8172fd16e90f6d633fc31c39cdd,2015-02,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
4b7970dced0cfe53eb6cdd24a6b9a449333eaf81560774ec2004ca2c72afe651,2015-02,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
eb893d3d747b7014fff77ba2af1e67bb99419a6b4f955d9b72b0113e8b3fdec4,2015-02,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
62b26f8cabcda7f628ce66480a83f499bc41b2efa63f490588fbf7f320f0fd70,2015-02,Metropolitan Police Service,Metropolitan Police Service,-0.227168,51.541559,On or near DONNINGTON ROAD,E01000492,Brent 030C,Investigation complete; no suspect identified
7e105404ee8285476b81493598b45259ca101d949dd112472fd4acc234982187,2015-02,Metropolitan Police Service,Metropolitan Police Service,-0.189544,51.493936,On or near COLLINGHAM PLACE,E01002839,Kensington and Chelsea 013C,Offender given a caution
fb7639e785edf1e16fac92b9e4b5f5508d5aa31fffc8629dc53b66d5af852896,2015-02,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
3fcd255c62d2e1557fc9a3166d61012988ecc0bd642ae644b5f1175b7b94a230,2015-02,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
ae5b1edd7e3d7d6b16354d57e957b57b47947c43bf7fbe62c1cc9c3b26b5ec96,2015-02,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
5bb328ce26ca3175e4cd22a3c7a2aa138fee1c2fb79be4eee4aaa222975408c2,2015-02,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Offender given a caution
e9dee4645b0c68692a4efc3d5aabf1695717a3208a7a5231bfdfee6e853c4384,2015-02,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Suspect charged
f3ac3bdfe672fef38888befe7da5e4c51f311a10693fe6bb49ab3ba6ab6d60fa,2015-02,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Suspect charged
4950a3a01140a85bb7ff4323efbcd146a2f7fed0613984a5a1d57dbdd1403c85,2015-02,Metropolitan Police Service,Metropolitan Police Service,-0.042805,51.472397,On or near MUSGROVE ROAD,E01003340,Lewisham 006C,Offender given penalty notice
203b15ec9df501e72392138c7ce557df3d213e63d462aa7afa9102acff37f56d,2015-02,Metropolitan Police Service,Metropolitan Police Service,-0.018942,51.344415,On or near PARKWAY,E01001078,Croydon 032D,Offender given a caution
d6453243baaf3afebdad685fd1868127050943a10294df3832565625becc13ec,2015-02,Metropolitan Police Service,Metropolitan Police Service,0.104930,51.485161,On or near Petrol Station,E01001573,Greenwich 008C,Investigation complete; no suspect identified
e477224c0d2596f9e533bfb55b73f0d146e835336a30944b35e00e59ff13e826,2015-02,Metropolitan Police Service,Metropolitan Police Service,-0.033015,51.601475,On or near OSPREY CLOSE,E01004399,Waltham Forest 009B,Investigation complete; no suspect identified
f3e5e6e65b8826007d1695044d11b273020f4962535bd5c8892ac6fed668ab75,2015-02,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
f3541ea51736c84bcb45656a470b988d53e8271a6396eaf1aa89826ded137427,2015-02,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
2b2f79c88d13410dc9c44d914f6f2244b2aaf3fe0afc07c6d7c0bfded217d73b,2015-02,Metropolitan Police Service,Metropolitan Police Service,-0.104994,51.547122,On or near HOLLOWAY ROAD,E01002795,Islington 013D,Investigation complete; no suspect identified
77640935877b8d5a7bab45975a00aff4287681bd785261b36aa4c437bed8d58e,2015-02,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
92220f2a596b13d367d371199ead304b3577665e53f4606e587e82a66cf29a9c,2015-02,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Suspect charged
d078ac4d2e00e3f0a8f294041633173be9e3f6bd11731d7d511f7d072b5c578c,2015-02,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
64941fe7f148e4920d59f6aa5eeea22a5bd1f2fec96dc08a48d69b99a6c9720d,2015-02,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Offender given a caution
c069c4482458b2f48f4523669c95ee225ea287f3f081a786b89367573569be1c,2015-02,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
031defaae1834a56497958ceaea8849c2e331de105aed0aaed5b74aa8b15c32f,2015-02,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
fd0beb66d71bc05cc6f43494e7c77851941abd1383fad65b47f160b12b8e2c2f,2015-02,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Suspect charged
764db4e43ca2e0ed93a50db8dca440eaf0cc7731fa309fecccafc05a513824ba,2015-02,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Suspect charged
5da232b0b63d7beb59f2176255b7ccae252336afd4b94a657eacc55a5b4f5b67,2015-02,Metropolitan Police Service,Metropolitan Police Service,-0.388764,51.542846,On or near COMPTON CRESCENT,E01001326,Ealing 008C,Investigation complete; no suspect identified
2a8ae2dbc172a4767661172fae339a171ec37d2353ca5b3cad6adba87f72527e,2015-02,Metropolitan Police Service,Metropolitan Police Service,-0.107447,51.552638,On or near BRYANTWOOD ROAD,E01033492,Islington 011I,Investigation complete; no suspect identified
5933145d4563f7f3961e044df8fb55a67a53c103be22b8fe705c05434b563c23,2015-02,Metropolitan Police Service,Metropolitan Police Service,-0.092911,51.523563,On or near ROSCOE STREET,E01002706,Islington 023E,Offender given a caution
1db30d1d74a1125850a48c5ff8f4176a5618a1198ed3bea68ac2d9b6e4a82413,2015-02,Metropolitan Police Service,Metropolitan Police Service,0.078807,51.485268,On or near MANTHORPE ROAD,E01001637,Greenwich 009D,Investigation complete; no suspect identified
59627a10a60e619c246eec760e05cd98ba8e572bff7f4edfbd823b511b749083,2015-02,Metropolitan Police Service,Metropolitan Police Service,0.022793,51.481715,On or near EASTCOMBE AVENUE,E01001592,Greenwich 014B,Suspect charged
aace2f6e01f6444bc70bcba5fd38088684017ff4771f53275e22665a67ca1e81,2015-02,Metropolitan Police Service,Metropolitan Police Service,-0.117226,51.300686,On or near Petrol Station,E01001021,Croydon 044D,Suspect charged
51e4a8a9dbe73a8727681e0cb57f1280a119a1214bf9f002f530976ac85c2869,2015-02,Metropolitan Police Service,Metropolitan Police Service,0.108573,51.575914,On or near Sports/Recreation Area,E01003770,Redbridge 022B,Investigation complete; no suspect identified
7573cf13dda5dada3cb8b373e937dc87c915429658bd846443a36007863a701f,2015-02,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Suspect charged
71995aa1a36951760c756fa84b0296484763043d158d6267e305cc2e3899afdd,2015-02,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Suspect charged
71995aa1a36951760c756fa84b0296484763043d158d6267e305cc2e3899afdd,2015-02,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
20154eeaecb7eb1804fbddf11b5b9067e161ba0af687aca27769b8f35eaeded4,2015-02,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Suspect charged
556ae5aa45cf6b93245e0fbc40a3ee4e1d4883d3be378841d860debb21a09171,2015-02,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Offender given a drugs possession warning
33a10891106dc1b0027934e3f3e06033bcd7bef8dc03629af030ca00717f1cd9,2015-02,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Suspect charged
210cb3cb7d0a2b43f8c053e8f5d994f69913171374e6283b8ea1fee421eeeb94,2015-02,Metropolitan Police Service,Metropolitan Police Service,-0.344620,51.432318,On or near BIRDWOOD CLOSE,E01003812,Richmond upon Thames 018B,Suspect charged
20f9f86b17d4e6383cabfc5a89e51c3742f0dd2a8e6a30c018950ada472a7305,2015-02,Metropolitan Police Service,Metropolitan Police Service,-0.304736,51.460065,On or near VICTORIA PLACE,E01003876,Richmond upon Thames 008B,Investigation complete; no suspect identified
082f80326eff516342d6c9c9ac6af61225efb329b508d9496a4e2d58e33cbb60,2015-02,Metropolitan Police Service,Metropolitan Police Service,-0.357996,51.451678,On or near HIGH STREET,E01003909,Richmond upon Thames 010E,Investigation complete; no suspect identified
292570d81e0b6b074d0ce8d24b5d57af67a8c5e2c999b3962acc2755976b9d5c,2015-02,Metropolitan Police Service,Metropolitan Police Service,-0.304186,51.461298,On or near Shopping Area,E01003876,Richmond upon Thames 008B,Investigation complete; no suspect identified
9f7b8b0aa84097cd2d209195aeff06ed7ce793dfa7f542ee5e6fcd02b9338669,2015-02,Metropolitan Police Service,Metropolitan Police Service,-0.375276,51.434375,On or near Supermarket,E01003829,Richmond upon Thames 020B,Suspect charged
cb765401a24c7242459cf13754e7b1a4744f034a65b439e1e2655dcad382a2a0,2015-02,Metropolitan Police Service,Metropolitan Police Service,-0.363383,51.467643,On or near Shopping Area,E01033083,Hounslow 018F,Offender given penalty notice
6e353a8e6f4dcd21f94fb9ef6e4416c85552370eb62895588e01ba97a1e1fff9,2015-02,Metropolitan Police Service,Metropolitan Police Service,-0.327758,51.468984,On or near Parking Area,E01002667,Hounslow 020A,Suspect charged
c4a0ad2e959d60dab55a61ff640cc056e3c79d21c5a14dbb6d704bef6455ea19,2015-02,Metropolitan Police Service,Metropolitan Police Service,-0.309172,51.485686,On or near SOMERSET ROAD,E01002684,Hounslow 006D,Offender given a drugs possession warning
6278da1ec51d3ecd5018e646aa9c0d84e21958272c66e0b6e27127c518647736,2015-02,Metropolitan Police Service,Metropolitan Police Service,-0.434089,51.441515,On or near Prison,E01002596,Hounslow 027A,Offender given a caution
8a832af2d5fcdfa5810390d3026d82499010d636ed6199c75c9d1f327ff192d5,2015-02,Metropolitan Police Service,Metropolitan Police Service,-0.278107,51.490980,On or near OXFORD ROAD NORTH,E01002692,Hounslow 029C,Suspect charged
54bef21e39a9483bfb3790a8562d7b029c8d25df50099cc8abc15359f5a7a65f,2015-02,Metropolitan Police Service,Metropolitan Police Service,-0.396057,51.476089,On or near Petrol Station,E01002635,Hounslow 010D,Investigation complete; no suspect identified
663d123b5b6a48969113e294ea8fa50b57d0145b701ea8341c4601c5f9655117,2015-02,Metropolitan Police Service,Metropolitan Police Service,-0.416332,51.456545,On or near PENTELOW GARDENS,E01002595,Hounslow 022E,Investigation complete; no suspect identified
806d2a43c4a659f651d5ffd6e5e012945d5d937a071b4666b94af1e79bada9f0,2015-02,Metropolitan Police Service,Metropolitan Police Service,-0.410361,51.462273,On or near SPACE WAYE,E01002592,Hounslow 022D,Investigation complete; no suspect identified
bc64f751e1e6d68d284e897d9c7098f4f524312d4437c5642b9ef2ec89790b28,2015-02,Metropolitan Police Service,Metropolitan Police Service,-0.306996,51.481446,On or near AUGUSTUS CLOSE,E01033082,Hounslow 003G,Offender given a drugs possession warning
c038d640820bf4becd7ebcb00115b358777259e786d6d47534ea9ff7e9fc98a8,2015-02,Metropolitan Police Service,Metropolitan Police Service,-0.247951,51.495290,On or near Parking Area,E01002574,Hounslow 001D,Investigation complete; no suspect identified
488a0d9793fca10284eaca43ca03c9cf8a843f5ca32519952c92c18a7e1943c7,2015-02,Metropolitan Police Service,Metropolitan Police Service,-0.372629,51.470802,On or near BULSTRODE AVENUE,E01002662,Hounslow 017C,Investigation complete; no suspect identified
c5132217266b6284da20fb9f09654d4b22c50f72a0572ec6fe8ec629f59e7cf3,2015-02,Metropolitan Police Service,Metropolitan Police Service,-0.298847,51.410522,On or near FAIRFIELD NORTH,E01002964,Kingston upon Thames 005A,Local resolution
c5132217266b6284da20fb9f09654d4b22c50f72a0572ec6fe8ec629f59e7cf3,2015-02,Metropolitan Police Service,Metropolitan Police Service,-0.298847,51.410522,On or near FAIRFIELD NORTH,E01002964,Kingston upon Thames 005A,Local resolution
c5132217266b6284da20fb9f09654d4b22c50f72a0572ec6fe8ec629f59e7cf3,2015-02,Metropolitan Police Service,Metropolitan Police Service,-0.298847,51.410522,On or near FAIRFIELD NORTH,E01002964,Kingston upon Thames 005A,Local resolution
c5132217266b6284da20fb9f09654d4b22c50f72a0572ec6fe8ec629f59e7cf3,2015-02,Metropolitan Police Service,Metropolitan Police Service,-0.298847,51.410522,On or near FAIRFIELD NORTH,E01002964,Kingston upon Thames 005A,Local resolution
c73012f0994f121d56d330fe7b91e22346e349c9e196eae3e6dfb3b566ce386d,2015-02,Metropolitan Police Service,Metropolitan Police Service,-0.293024,51.385393,On or near GORDON ROAD,E01002925,Kingston upon Thames 013B,Offender given a drugs possession warning
c176a4500f249f85bfbdd6e86655817bb382d014901559f84924a1feb8f31904,2015-02,Metropolitan Police Service,Metropolitan Police Service,-0.302115,51.409265,On or near LADY BOOTH ROAD,E01002968,Kingston upon Thames 009C,Suspect charged
08ea744ff73f8f567e4bad4afccfa29680e1fec3f67250e8e7c6bcc638505d8e,2015-02,Metropolitan Police Service,Metropolitan Police Service,-0.311502,51.387064,On or near BEECHWOOD CLOSE,E01002993,Kingston upon Thames 013C,Suspect charged
807698752dec7e68d74337591ee3633809350535d7cc6f2fd922fe20fff28b19,2015-02,Metropolitan Police Service,Metropolitan Police Service,-0.304562,51.409184,On or near Shopping Area,E01002968,Kingston upon Thames 009C,Offender given a caution
22311f0d0d6b75b1322c135d69c3898eb708d4f06c4d9477472b2904540c2c0c,2015-02,Metropolitan Police Service,Metropolitan Police Service,-0.300761,51.411260,On or near NIPPER ALLEY,E01002968,Kingston upon Thames 009C,Offender given a caution
8ffa19095b21e14e45a308a4286ec0fdb305e9d05b21abe3b699801504070afa,2015-02,Metropolitan Police Service,Metropolitan Police Service,-0.298847,51.410522,On or near FAIRFIELD NORTH,E01002964,Kingston upon Thames 005A,Suspect charged
cde9cd119dd5fe8173c0f606c6bbf509d9cf88e2801e4eee2bfba0f74050dd50,2015-02,Metropolitan Police Service,Metropolitan Police Service,-0.307616,51.408634,On or near Theatre/Concert Hall,E01002968,Kingston upon Thames 009C,Suspect charged
1e74f7ae96d891bed4796977a97a68f20fd2ee2428837fb82657080e3e039ea1,2015-02,Metropolitan Police Service,Metropolitan Police Service,-0.262469,51.413135,On or near BURGHLEY AVENUE,E01002959,Kingston upon Thames 002E,Investigation complete; no suspect identified
e86f6671531ab51e552354d3c66d9233f961cdeabaf70784ab2c975a7557fc10,2015-02,Metropolitan Police Service,Metropolitan Police Service,-0.305140,51.409507,On or near UNION STREET,E01002968,Kingston upon Thames 009C,Investigation complete; no suspect identified
90c1d113f5f6e8fdf22a731f10cfd1de4f8ffa7f20a28a7b4bfa74325202741b,2015-02,Metropolitan Police Service,Metropolitan Police Service,-0.270229,51.382766,On or near ELMDENE,E01002918,Kingston upon Thames 017A,Investigation complete; no suspect identified
5787acfe08276e362a4f1349e8eba2249ec5551fcc138686735d83fd7a54c6f3,2015-02,Metropolitan Police Service,Metropolitan Police Service,-0.310908,51.357928,On or near HARROW CLOSE,E01002949,Kingston upon Thames 020D,Investigation complete; no suspect identified
f22883459306929838dfee09d724a49824351bdb0d978608162febeaaa57678a,2015-02,Metropolitan Police Service,Metropolitan Police Service,-0.298221,51.387492,On or near Sports/Recreation Area,E01002997,Kingston upon Thames 016C,Investigation complete; no suspect identified
05a713b49fa09a1da25da0378ecf51067e3ade48a2498a6d38ba589dff9dfbad,2015-02,Metropolitan Police Service,Metropolitan Police Service,-0.307910,51.359746,On or near ELLINGHAM ROAD,E01002949,Kingston upon Thames 020D,Investigation complete; no suspect identified
d06311308de489885667b2b4635d6886ddf1c48a0bc36224f9f680c12169ff3f,2015-02,Metropolitan Police Service,Metropolitan Police Service,-0.258245,51.402803,On or near GRAFTON ROAD,E01002930,Kingston upon Thames 007B,Investigation complete; no suspect identified
ad6174513eaad5ff35726a9905dc1a83c4cfad7ced27a1b1f406523e7973f98b,2015-02,Metropolitan Police Service,Metropolitan Police Service,-0.257857,51.402411,On or near TREGARON GARDENS,E01002930,Kingston upon Thames 007B,Investigation complete; no suspect identified
0568b138196ba715970b200885b3ef3b2afdfcc373a648a0876b7880e22585cd,2015-02,Metropolitan Police Service,Metropolitan Police Service,-0.298910,51.405325,On or near Further/Higher Educational Building,E01002968,Kingston upon Thames 009C,Investigation complete; no suspect identified
b3cd416a627ed38a9d2ca26eba24148032ee9d37d4403dc0b34af786c63a1527,2015-02,Metropolitan Police Service,Metropolitan Police Service,-0.271421,51.400337,On or near POTTERS GROVE,E01002932,Kingston upon Thames 006A,Investigation complete; no suspect identified
b22ae908375c81194077dd5e5fcd45b5463b81857b0a1134b65f6a3843ba888e,2015-02,Metropolitan Police Service,Metropolitan Police Service,-0.300512,51.410996,On or near Shopping Area,E01002964,Kingston upon Thames 005A,Investigation complete; no suspect identified
198f2819747c493d118838e4c56f4d3a317c964fb0269977003a710a016a682e,2015-02,Metropolitan Police Service,Metropolitan Police Service,-0.301979,51.401656,On or near FASSETT ROAD,E01002965,Kingston upon Thames 009A,Local resolution
